feature-id	frequency
d9d7947a84127a412e1ced268ee42595	591
638db49f90c60f0af79ab43a48aee2fc	588
ece44ec431a44901521ef7274add8ebd	582
5650c65b404344663743ffb907131495	579
04641cfa02ef90977874f2a4701cc89b	575
69f238dbfe84e0d787c01d335d92f8a4	573
d2912d241da106995ca3e8bb952ab675	570
6cbec401b23170885c20426e91d30c2e	567
fbe10dd7b4d573b817c61164f4830fd6	567
3fd6e6a6c92a30d8c8a42f17cc0f9559	566
10d4ae7d5498f59f4e2daf752e2a15d4	564
b98991cffd4bbe8c5eb95f733b801243	564
055fd693fefff372ec7e83501e41716f	562
955c4e0a98c875b15e612f0bebc9934a	560
a6c1c325747e790508a8f9e5ccb30b7d	555
c772bc0db24a07a73a4cf4515408c951	555
2a25a2ab78115e46f424124c8eb1cd23	554
d4293261f969d1719df17523ea95bf6b	549
ab2db9bcd6c42d0d3e07ff96c23ed159	545
d0e1f81d66847b7b70ca4d536da4cbb0	544
9253f78e246e623dc12e9ccddae7e361	540
d7291938876db3ebac278940bd6606a5	539
63a98dde4caf3df40f56f2b9362c0acf	537
d5f3762ed8beedf50c29b75fb999f23f	537
cccff1768022519b9e06f51ee40edba4	533
6ffa6713e4f8edda438a8851e8a82846	532
fa57f8ebfaae68c4d6f05d87167e4944	528
43d400b1371dbe7dd295b34430718bca	528
dc2fa6a05d0d95dc17b0dba73e85f96d	523
513bbfcad9c0a2ed1b88e28bf71ea460	521
3e6f41ea0a3da1d194fd56c4ec16f3f5	520
fabc5394ee2e7dec618fb7b84c5a4eac	520
29baf24578875de31c04785d3b2ca780	519
c88d75e8cb08fb0ebb1e385909469cc9	517
63e4169157df689095fe4e063dc1f3c9	516
aff2d2e020decbb59e217b4dac8a037d	515
b16f5c0b81497216dd9346406eac597b	514
6f9abaaa13b04798cea1ce7027c034f2	514
d0da7a260a69516f98b3aa0b98436d4e	512
db7206244fe1d6d96e24ff1b9085cf8c	511
9b11aa813abbe083e8250432cfd83388	511
a1b693472022fdf2e910f428a8e2fdf7	507
7a95b572d8bb0738d1eda73b09642222	501
9a51a0837ab33fb1ffe68c1e9759e50e	500
4cbfeef6fcf46e7a009051103ec118c4	499
acd971b7ceff7b177c40b76f1c7b65c1	499
52a5624234404df7306c3eb0993ddf2d	497
3363accff9ee3fe33300c3110d7d44c1	493
dd9cdd9fd1ed00ef14fcf60a5406a58d	492
9ddaed20abff09373585f701f945c34a	490
a833f0f5ae788738f517c321f67fbbce	489
39d22d6912498052a566be578cdd3e0a	486
70de17f059b4595dcd57d1e508cf8725	485
68882b84c2c49c6f2414d3732c189c6c	485
c8bf6ca0a360ce5e8ccbcc65ef397002	482
6a3a6e39a3a0537858a030b1d6e9abc4	482
fc5d2981c360a4a0f81904701e820580	481
90e130782cc9f6035265b77d0ca0ce20	477
7fdb0058f05350819470ef2c51a4b5bd	477
b0c48c884a6b19f34f4a287ee156cf1e	476
c11b1f4871d8109a5f0d613ed21a1a7f	474
e97020443036d1c39baca5a1e6b83fb7	472
